推荐顺位,公司名称,统一社会信用代码,模型推荐分数,所属城市,产业链环节,企业类型标签,推荐理由,建议动作
1,深城交科技集团股份有限公司,91440300671877217N,0.9998952,深圳市,中游,投资发展类,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
2,广东电网有限责任公司,91440000730486030B,0.9998795,广州市,下游,投资发展类,GraphSAGE评分高；位于广州市；处于下游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
3,广州极飞科技股份有限公司,91440106593721849Y,0.99977094,广州市,中游,产业运营类,GraphSAGE评分高；位于广州市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
4,比亚迪股份有限公司,91440300192317458F,0.99941766,深圳市,下游,服务平台类,GraphSAGE评分高；位于深圳市；处于下游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
5,顺丰科技有限公司,91440300687582704U,0.99900997,深圳市,中游,服务平台类,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
6,华为技术有限公司,914403001922038216,0.99874216,深圳市,中游,服务平台类,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
7,深圳市道通智能航空技术股份有限公司,91440300306077254B,0.9987379,深圳市,中游,服务平台类,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
8,深圳市大疆灵眸科技有限公司,914403000589938852,0.99869955,深圳市,中游,服务平台类,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
9,深圳市大疆创新科技有限公司,914403007954257495,0.9984725,深圳市,中游,服务平台类,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
10,南方电网电力科技股份有限公司,91440000190345797E,0.99814,广州市,中游,产业运营类,GraphSAGE评分高；位于广州市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
11,深圳市科卫泰实业发展有限公司,91440300279392266B,0.9974874,深圳市,中游,投资发展类,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
12,丰翼科技(深圳)有限公司,91440300MA5FA4QL2L,0.99746263,深圳市,中游,服务平台类,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
13,深圳市好盈科技股份有限公司,914403007787549030,0.99700123,深圳市,中游,投资发展类,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
14,哈瓦国际航空技术(深圳)有限公司,91440300319491403H,0.9967399,深圳市,中游,服务平台类,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
15,深圳市喜悦智慧数据有限公司,91440300319512147W,0.99606836,深圳市,中游,产业运营类,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
16,广东新禾智慧数字科技有限公司,914401065937484197,0.995961,广州市,中游,产业运营类,GraphSAGE评分高；位于广州市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
17,美团科技有限公司,91440300MA5G0YNU5T,0.99519014,深圳市,中游,服务平台类,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
18,深圳市智源万联科技有限公司,91440300MADFQJH81G,0.99286336,深圳市,中游,服务平台类,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
19,亿航智能设备有限公司,91440116MA59AB9P0B,0.9927227,广州市,中游,产业运营类,GraphSAGE评分高；位于广州市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
20,广东汇天航空航天科技有限公司,91440101MA9W1BQA5Y,0.9882334,广州市,中游,产业运营类,GraphSAGE评分高；位于广州市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验
