feature,mean_abs_shap,mean_shap
emb_43,2.7314436,-2.2628663
企业年龄,1.4031003,-1.135568
emb_60,0.49493617,-0.4148169
emb_19,0.31360006,-0.25846744
emb_0,0.13296734,-0.11161071
emb_6,0.094447665,-0.0309289
emb_57,0.07749513,-0.03337928
emb_33,0.035812758,-0.027478896
emb_38,0.028900413,-0.02245176
emb_37,0.025663447,-0.021924179
emb_18,0.021106403,-0.009882448
emb_20,0.01987354,-0.015509327
emb_48,0.0146388635,-0.008055702
emb_56,0.013468806,-0.007670181
emb_10,0.01315733,-0.009828033
emb_44,0.006995054,-0.00398954
emb_25,0.0045681223,0.0025039357
emb_5,0.004322139,0.0018713058
经度,0.0033350599,0.0020788847
emb_4,0.003063106,0.0016582016
emb_8,0.002801884,-0.001527895
emb_14,0.0021727816,0.0015599995
emb_45,0.0013693017,0.0006499064
上游关键词命中数,0.0009493368,0.00024755107
emb_13,0.0,0.0
emb_21,0.0,0.0
emb_53,0.0,0.0
emb_54,0.0,0.0
emb_55,0.0,0.0
emb_17,0.0,0.0
emb_16,0.0,0.0
emb_15,0.0,0.0
emb_12,0.0,0.0
emb_23,0.0,0.0
emb_11,0.0,0.0
emb_58,0.0,0.0
emb_9,0.0,0.0
emb_7,0.0,0.0
emb_59,0.0,0.0
emb_61,0.0,0.0
emb_62,0.0,0.0
emb_22,0.0,0.0
emb_24,0.0,0.0
emb_46,0.0,0.0
emb_35,0.0,0.0
emb_47,0.0,0.0
emb_42,0.0,0.0
emb_41,0.0,0.0
emb_40,0.0,0.0
emb_39,0.0,0.0
emb_49,0.0,0.0
emb_50,0.0,0.0
emb_36,0.0,0.0
emb_3,0.0,0.0
emb_52,0.0,0.0
emb_51,0.0,0.0
emb_32,0.0,0.0
emb_31,0.0,0.0
emb_30,0.0,0.0
emb_29,0.0,0.0
emb_28,0.0,0.0
emb_27,0.0,0.0
emb_26,0.0,0.0
emb_34,0.0,0.0
emb_1,0.0,0.0
emb_2,0.0,0.0
注册资本数值,0.0,0.0
技术合同成交额_万元_全市,0.0,0.0
国家级高新技术企业数_个_全市,0.0,0.0
发明专利授权数_件_全市,0.0,0.0
第三产业占地区生产总值的比重_全市,0.0,0.0
常住人口_万人_全市,0.0,0.0
固定资产投资_万元_全市,0.0,0.0
科学技术支出_万元_全市,0.0,0.0
人均地区生产总值_元_全市,0.0,0.0
地区生产总值_当年价格_亿元_全市,0.0,0.0
纬度,0.0,0.0
adcode,0.0,0.0
地级市代码,0.0,0.0
地级市代码_数值,0.0,0.0
adcode_数值,0.0,0.0
纬度_数值,0.0,0.0
经度_数值,0.0,0.0
成立年份缺失,0.0,0.0
数据来源长度,0.0,0.0
曾用名分号数,0.0,0.0
曾用名长度,0.0,0.0
经营范围中文逗号数,0.0,0.0
经营范围分号数,0.0,0.0
经营范围长度,0.0,0.0
注册地址长度,0.0,0.0
天眼评分数值,0.0,0.0
参保人数数值,0.0,0.0
实缴资本数值,0.0,0.0
下游关键词命中数,0.0,0.0
中游关键词命中数,0.0,0.0
panel_latest_year,0.0,0.0
发明专利授权数_件_全市_latest,0.0,0.0
graph_patent_degree,0.0,0.0
graph_risk_event_count,0.0,0.0
graph_region_degree,0.0,0.0
graph_chain_degree,0.0,0.0
panel_patent_std,0.0,0.0
panel_patent_avg,0.0,0.0
panel_patent_growth,0.0,0.0
panel_patent_trend_slope,0.0,0.0
技术合同成交额_万元_全市_latest,0.0,0.0
技术合同成交额_万元_全市_mean,0.0,0.0
国家级高新技术企业数_个_全市_latest,0.0,0.0
国家级高新技术企业数_个_全市_mean,0.0,0.0
发明专利授权数_件_全市_mean,0.0,0.0
panel_years_covered,0.0,0.0
第三产业占地区生产总值的比重_全市_latest,0.0,0.0
第三产业占地区生产总值的比重_全市_mean,0.0,0.0
常住人口_万人_全市_latest,0.0,0.0
常住人口_万人_全市_mean,0.0,0.0
固定资产投资_万元_全市_latest,0.0,0.0
固定资产投资_万元_全市_mean,0.0,0.0
科学技术支出_万元_全市_latest,0.0,0.0
科学技术支出_万元_全市_mean,0.0,0.0
人均地区生产总值_元_全市_latest,0.0,0.0
人均地区生产总值_元_全市_mean,0.0,0.0
地区生产总值_当年价格_亿元_全市_latest,0.0,0.0
地区生产总值_当年价格_亿元_全市_mean,0.0,0.0
emb_63,0.0,0.0
