feature,importance
emb_43,0.30250847
emb_0,0.29040778
emb_19,0.19280292
emb_60,0.108648136
企业年龄,0.089321546
emb_37,0.0041206023
emb_6,0.0017600736
emb_57,0.0017196406
emb_38,0.0016489275
上游关键词命中数,0.0015609643
emb_18,0.0014169005
emb_10,0.001274194
emb_33,0.0009950321
emb_20,0.0006746552
emb_5,0.0005242685
emb_4,0.00015769913
emb_25,0.00013626346
emb_45,0.00012441291
经度,6.686351e-05
emb_44,4.9156406e-05
emb_48,4.2416264e-05
emb_56,2.1462009e-05
emb_14,1.50970045e-05
emb_8,2.521771e-06
emb_15,0.0
emb_23,0.0
emb_22,0.0
emb_21,0.0
emb_54,0.0
emb_55,0.0
emb_17,0.0
emb_16,0.0
emb_62,0.0
emb_61,0.0
emb_13,0.0
emb_24,0.0
emb_11,0.0
emb_58,0.0
emb_9,0.0
emb_7,0.0
emb_59,0.0
emb_12,0.0
emb_26,0.0
emb_47,0.0
emb_36,0.0
emb_46,0.0
emb_49,0.0
emb_42,0.0
emb_41,0.0
emb_40,0.0
emb_39,0.0
emb_50,0.0
emb_51,0.0
emb_52,0.0
emb_27,0.0
emb_35,0.0
emb_3,0.0
emb_53,0.0
emb_32,0.0
emb_31,0.0
emb_30,0.0
emb_29,0.0
emb_28,0.0
emb_34,0.0
emb_1,0.0
emb_2,0.0
注册资本数值,0.0
技术合同成交额_万元_全市,0.0
国家级高新技术企业数_个_全市,0.0
发明专利授权数_件_全市,0.0
第三产业占地区生产总值的比重_全市,0.0
常住人口_万人_全市,0.0
固定资产投资_万元_全市,0.0
科学技术支出_万元_全市,0.0
人均地区生产总值_元_全市,0.0
地区生产总值_当年价格_亿元_全市,0.0
纬度,0.0
adcode,0.0
地级市代码,0.0
地级市代码_数值,0.0
adcode_数值,0.0
纬度_数值,0.0
经度_数值,0.0
成立年份缺失,0.0
数据来源长度,0.0
曾用名分号数,0.0
曾用名长度,0.0
经营范围中文逗号数,0.0
经营范围分号数,0.0
经营范围长度,0.0
注册地址长度,0.0
天眼评分数值,0.0
参保人数数值,0.0
实缴资本数值,0.0
下游关键词命中数,0.0
中游关键词命中数,0.0
panel_latest_year,0.0
发明专利授权数_件_全市_latest,0.0
graph_patent_degree,0.0
graph_risk_event_count,0.0
graph_region_degree,0.0
graph_chain_degree,0.0
panel_patent_std,0.0
panel_patent_avg,0.0
panel_patent_growth,0.0
panel_patent_trend_slope,0.0
技术合同成交额_万元_全市_latest,0.0
技术合同成交额_万元_全市_mean,0.0
国家级高新技术企业数_个_全市_latest,0.0
国家级高新技术企业数_个_全市_mean,0.0
发明专利授权数_件_全市_mean,0.0
panel_years_covered,0.0
第三产业占地区生产总值的比重_全市_latest,0.0
第三产业占地区生产总值的比重_全市_mean,0.0
常住人口_万人_全市_latest,0.0
常住人口_万人_全市_mean,0.0
固定资产投资_万元_全市_latest,0.0
固定资产投资_万元_全市_mean,0.0
科学技术支出_万元_全市_latest,0.0
科学技术支出_万元_全市_mean,0.0
人均地区生产总值_元_全市_latest,0.0
人均地区生产总值_元_全市_mean,0.0
地区生产总值_当年价格_亿元_全市_latest,0.0
地区生产总值_当年价格_亿元_全市_mean,0.0
emb_63,0.0
